bioguideId,state,Agriculture and Food,Animals,Armed Forces and National Security,Arts,Civil Rights and Liberties,Commerce,Congress,Crime and Law Enforcement,Economics and Public Finance,Education,Emergency Management,Energy,Environmental Protection,Families,Finance and Financial Sector,Foreign Trade and International Finance,Government Operations and Politics,Health,Housing and Community Development,Immigration,International Affairs,Labor and Employment,Law,Native Americans,Public Lands and Natural Resources,Science,Social Sciences and History,Social Welfare,Sports and Recreation,Taxation,Transportation and Public Works,Water Resources Development
B001237,MN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B001269,PA,2,0,2,2,0,1,0,0,0,0,7,0,0,1,0,0,5,0,0,10,1,1,0,0,0,0,0,0,0,5,3,0
B000151,KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B000153,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B000160,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B001282,KY,1,0,3,0,0,0,3,0,3,0,0,0,0,0,16,0,0,3,1,0,1,0,0,0,2,0,0,0,2,11,0,0
B000169,GA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B001300,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
B001261,WY,0,1,1,1,0,0,0,0,0,0,0,10,8,0,0,1,1,7,0,0,0,1,1,13,15,0,0,3,0,3,2,10
B000179,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B001239,SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B000177,WI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B000178,PA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B001252,GA,0,0,1,0,0,0,3,1,3,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
B000200,OK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B000208,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B000204,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B000213,TX,0,0,0,0,0,4,1,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0
B000220,NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B001270,CA,0,0,1,0,0,1,0,2,0,8,0,0,0,3,0,0,1,6,0,0,4,0,0,0,0,0,0,4,0,0,2,0
B000229,VA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B000236,CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B000243,MT,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0,4,1,2,0,0,0,0,0,1,4,0,0,4,0,3,0,3
B000244,MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
