bioguideId,last_name,first_name,party,state,chamber,chamber_id
P000605,Perry,Scott,R,PA,House,1
G000567,Griffin,Tim,R,AR,House,1
J000290,Jenkins,Lynn,R,KS,House,1
R000598,Rothfus,Keith,R,PA,House,1
B001269,Barletta,Lou,R,PA,House,1
R000053,Rangel,Charles,D,NY,House,1
L000560,Larsen,Rick,D,WA,House,1
L000570,Lujan,Ben,D,NM,House,1
K000381,Kilmer,Derek,D,WA,House,1
P000604,Payne,Donald,D,NJ,House,1
F000043,Fattah,Chaka,D,PA,House,1
L000287,Lewis,John,D,GA,House,1
B001251,Butterfield,G. K.,D,NC,House,1
C001037,Capuano,Michael,D,MA,House,1
G000571,Gabbard,Tulsi,D,HI,House,1
L000397,Lofgren,Zoe,D,CA,House,1
J000032,Jackson Lee,Sheila,D,TX,House,1
P000197,Pelosi,Nancy,D,CA,House,1
M001137,Meeks,Gregory,D,NY,House,1
Q000023,Quigley,Mike,D,IL,House,1
O000170,O'rourke,Beto,D,TX,House,1
C001038,Crowley,Joseph,D,NY,House,1
L000562,Lynch,Stephen,D,MA,House,1
E000292,Enyart,William,D,IL,House,1
S001162,Schwartz,Allyson,D,PA,House,1
J000126,Johnson,Eddie,D,TX,House,1
M001188,Meng,Grace,D,NY,House,1
J000296,Jolly,David,R,FL,House,1
L000578,Lamalfa,Doug,R,CA,House,1
W000816,Williams,Roger,R,TX,House,1
B001256,Bachmann,Michele,R,MN,House,1
A000055,Aderholt,Robert,R,AL,House,1
N000184,Noem,Kristi,R,SD,House,1
C001092,Collins,Chris,R,NY,House,1
S001179,Schock,Aaron,R,IL,House,1
W000812,Wagner,Ann,R,MO,House,1
M001156,Mchenry,Patrick,R,NC,House,1
C000059,Calvert,Ken,R,CA,House,1
Y000063,Yoder,Kevin,R,KS,House,1
G000565,Gosar,Paul,R,AZ,House,1
B000213,Barton,Joe,R,TX,House,1
M001165,Mccarthy,Kevin,R,CA,House,1
R000591,Roby,Martha,R,AL,House,1
E000172,Emerson,Jo,R,MO,House,1
Y000031,Young,C. W.,R,FL,House,1
C000556,Coble,Howard,R,NC,House,1
A000369,Amodei,Mark,R,NV,House,1
W000791,Walden,Greg,R,OR,House,1
S001154,Shuster,Bill,R,PA,House,1
W000672,Wolf,Frank,R,VA,House,1
P000591,Price,Tom,R,GA,House,1
S001187,Stivers,Steve,R,OH,House,1
B001273,Black,Diane,R,TN,House,1
P000265,Petri,Tom,R,WI,House,1
B001244,Bonner,Jo,R,AL,House,1
M001139,Miller,Gary,R,CA,House,1
R000572,Rogers,Mike,R,MI,House,1
F000451,Fitzpatrick,Michael,R,PA,House,1
N000182,Neugebauer,Randy,R,TX,House,1
F000449,Fortenberry,Jeff,R,NE,House,1
F000459,Fleischmann,Charles,R,TN,House,1
M001142,Matheson,Jim,D,UT,House,1
M000485,Mcintyre,Mike,D,NC,House,1
M001181,Meehan,Patrick,R,PA,House,1
S001148,Simpson,Michael,R,ID,House,1
Y000064,Young,Todd,R,IN,House,1
H000329,Hastings,Doc,R,WA,House,1
H001055,Heck,Joseph,R,NV,House,1
J000295,Joyce,David,R,OH,House,1
M001189,Messer,Luke,R,IN,House,1
R000597,Rice,Tom,R,SC,House,1
R000575,Rogers,Mike,R,AL,House,1
S001172,Smith,Adrian,R,NE,House,1
T000462,Tiberi,Patrick,R,OH,House,1
G000564,Gibson,Christopher,R,NY,House,1
K000220,Kingston,Jack,R,GA,House,1
T000463,Turner,Michael,R,OH,House,1
M000133,Markey,Edward,D,MA,House,1
N000015,Neal,Richard,D,MA,House,1
C001036,Capps,Lois,D,CA,House,1
C000754,Cooper,James,D,TN,House,1
D000614,Duffy,Sean,R,WI,House,1
A000367,Amash,Justin,R,MI,House,1
L000563,Lipinski,Daniel,D,IL,House,1
S001188,Stutzman,Marlin,R,IN,House,1
T000470,Tipton,Scott,R,CO,House,1
S000937,Stockman,Steve,R,TX,House,1
P000598,Polis,Jared,D,CO,House,1
R000515,Rush,Bobby,D,IL,House,1
B001284,Brooks,Susan,R,IN,House,1
P000373,Pitts,Joseph,R,PA,House,1
B001274,Brooks,Mo,R,AL,House,1
D000612,Denham,Jeff,R,CA,House,1
C001094,Cook,Paul,R,CA,House,1
B001252,Barrow,John,D,GA,House,1
M001171,Maffei,Daniel,D,NY,House,1
D000622,Duckworth,Tammy,D,IL,House,1
C001061,Cleaver,Emanuel,D,MO,House,1
B000490,Bishop,Sanford,D,GA,House,1
G000546,Graves,Sam,R,MO,House,1
C001063,Cuellar,Henry,D,TX,House,1
C001059,Costa,Jim,D,CA,House,1
G000572,Gallego,Pete,D,TX,House,1
F000456,Fleming,John,R,LA,House,1
R000011,Rahall,Nick,D,WV,House,1
A000210,Andrews,Robert,D,NJ,House,1
W000207,Watt,Melvin,D,NC,House,1
T000193,Thompson,Bennie,D,MS,House,1
D000096,Davis,Danny,D,IL,House,1
K000210,King,Peter,R,NY,House,1
J000292,Johnson,Bill,R,OH,House,1
R000585,Reed,Tom,R,NY,House,1
D000618,Daines,Steve,R,MT,House,1
L000566,Latta,Robert,R,OH,House,1
M001158,Marchant,Kenny,R,TX,House,1
S000522,Smith,Christopher,R,NJ,House,1
H001048,Hunter,Duncan,R,CA,House,1
N000181,Nunes,Devin,R,CA,House,1
K000376,Kelly,Mike,R,PA,House,1
T000467,Thompson,Glenn,R,PA,House,1
C000537,Clyburn,James,D,SC,House,1
F000372,Frelinghuysen,Rodney,R,NJ,House,1
S001157,Scott,David,D,GA,House,1
V000081,Velazquez,Nydia,D,NY,House,1
B001245,Bordallo,Madeleine,D,GU,House,1
O000169,Owens,William,D,NY,House,1
L000554,Lobiondo,Frank,R,NJ,House,1
B001287,Bera,Ami,D,CA,House,1
S000364,Shimkus,John,R,IL,House,1
R000586,Renacci,James,R,OH,House,1
V000130,Vargas,Juan,D,CA,House,1
R000409,Rohrabacher,Dana,R,CA,House,1
W000809,Womack,Steve,R,AR,House,1
M000508,Mckeon,Howard,R,CA,House,1
V000108,Visclosky,Peter,D,IN,House,1
G000569,Grimm,Michael,R,NY,House,1
R000578,Reichert,David,R,WA,House,1
M001192,Mcallister,Vance,R,LA,House,1
S001177,Sablan,Gregorio,D,MP,House,1
R000594,Runyan,Jon,R,NJ,House,1
A000361,Alexander,Rodney,R,LA,House,1
H001056,Herrera Beutler,Jaime,R,WA,House,1
F000010,Faleomavaega,Eni,D,AS,House,1
W000413,Whitfield,Edward,R,KY,House,1
P000594,Paulsen,Erik,R,MN,House,1
V000129,Valadao,David,R,CA,House,1
F000450,Foxx,Virginia,R,NC,House,1
B000755,Brady,Kevin,R,TX,House,1
R000589,Rigell,E.,R,VA,House,1
R000570,Ryan,Paul,R,WI,House,1
